Tot.Pop,Tot.Pop.Downtown,Tot.Pop.Satellite,Tot.Pop.Other,Tot.Pop.Sentenced,Tot.Pop.Unsentenced,Bookings,Transfers,Releases,Date,Month,Year
195,42,136,17,17,161,14,7,15,8/11/2016,Aug,2016
189,42,131,16,16,157,9,0,21,8/12/2016,Aug,2016
195,41,138,16,17,162,9,0,6,8/15/2016,Aug,2016
193,42,136,15,20,158,9,0,10,8/16/2016,Aug,2016
202,44,140,18,21,163,16,0,8,8/17/2016,Aug,2016
202,44,137,21,20,161,16,4,13,8/18/2016,Aug,2016
197,45,131,21,18,158,12,1,19,8/19/2016,Aug,2016
204,48,135,21,18,165,12,0,10,8/20/2016,Aug,2016
201,48,132,21,18,162,12,0,13,8/21/2016,Aug,2016
204,46,137,21,17,166,17,0,12,8/22/2016,Aug,2016
207,45,141,21,18,168,20,0,19,8/23/2016,Aug,2016
207,44,139,24,19,164,19,0,16,8/24/2016,Aug,2016
198,43,132,23,19,156,13,8,16,8/25/2016,Aug,2016
197,46,129,22,19,156,14,0,23,8/26/2016,Aug,2016
188,44,124,20,19,149,12,0,18,8/27/2016,Aug,2016
196,43,133,20,19,157,13,0,6,8/29/2016,Aug,2016
206,45,141,20,19,167,25,0,19,8/30/2016,Aug,2016
204,47,137,20,18,166,12,0,13,8/31/2016,Aug,2016
198,46,133,19,19,160,16,5,0,9/1/2016,Sep,2016
195,45,132,18,18,159,17,0,21,9/2/2016,Sep,2016
196,45,132,19,18,159,12,0,11,9/3/2016,Sep,2016
206,44,143,19,18,169,16,0,8,9/4/2016,Sep,2016
205,44,142,19,18,168,14,0,11,9/5/2016,Sep,2016
212,44,149,19,17,176,13,0,7,9/6/2016,Sep,2016
212,43,147,22,20,170,14,0,17,9/7/2016,Sep,2016
203,45,134,24,20,159,20,6,15,9/8/2016,Sep,2016
204,47,133,24,21,159,18,0,26,9/9/2016,Sep,2016
212,47,141,24,24,164,14,0,7,9/10/2016,Sep,2016
218,47,147,24,24,170,10,0,7,9/11/2016,Sep,2016
216,49,143,24,23,169,11,0,10,9/12/2016,Sep,2016
211,49,139,23,29,159,10,0,16,9/13/2016,Sep,2016
211,49,138,24,30,157,16,0,14,9/14/2016,Sep,2016
202,48,127,27,19,156,15,17,9,9/15/2016,Sep,2016
197,51,120,26,15,156,16,2,34,9/16/2016,Sep,2016
200,53,122,25,15,160,15,0,14,9/17/2016,Sep,2016
200,52,124,24,15,161,11,0,11,9/19/2016,Sep,2016
204,48,133,23,15,166,21,0,19,9/20/2016,Sep,2016
201,49,129,23,15,163,11,0,12,9/21/2016,Sep,2016
211,47,142,22,17,172,23,6,9,9/22/2016,Sep,2016
210,46,144,20,17,173,19,0,26,9/23/2016,Sep,2016
209,49,141,19,17,173,11,0,13,9/24/2016,Sep,2016
209,49,141,19,17,173,11,0,13,9/25/2016,Sep,2016
216,46,151,19,16,181,8,0,7,9/26/2016,Sep,2016
214,48,147,19,17,178,17,0,20,9/27/2016,Sep,2016
219,49,151,19,18,182,14,0,9,9/28/2016,Sep,2016
189,45,125,19,11,159,10,11,24,9/29/2016,Sep,2016
193,45,129,19,11,163,11,0,21,9/30/2016,Sep,2016
192,47,127,18,11,163,11,0,0,10/1/2016,Oct,2016
193,48,127,18,10,165,13,0,12,10/2/2016,Oct,2016
193,48,128,17,10,166,13,0,10,10/3/2016,Oct,2016
191,49,125,17,10,164,15,0,19,10/4/2016,Oct,2016
192,49,124,19,9,164,16,0,15,10/5/2016,Oct,2016
183,40,122,21,9,153,16,13,13,10/6/2016,Oct,2016
188,39,128,21,8,159,22,0,29,10/7/2016,Oct,2016
180,39,121,20,8,152,11,0,18,10/8/2016,Oct,2016
186,40,126,20,8,158,11,0,7,10/9/2016,Oct,2016
185,40,125,20,8,157,11,0,10,10/10/2016,Oct,2016
189,40,129,20,8,161,15,0,12,10/11/2016,Oct,2016
195,38,135,22,11,162,15,0,11,10/12/2016,Oct,2016
185,39,126,20,10,155,19,2,25,10/13/2016,Oct,2016
184,38,128,18,10,156,18,0,19,10/14/2016,Oct,2016
182,38,127,17,9,156,9,0,12,10/15/2016,Oct,2016
193,39,137,17,9,167,9,0,4,10/17/2016,Oct,2016
193,39,137,17,11,165,21,0,20,10/18/2016,Oct,2016
189,40,131,18,9,162,12,0,14,10/19/2016,Oct,2016
186,44,124,18,7,161,8,3,10,10/20/2016,Oct,2016
187,44,125,18,8,161,15,0,19,10/21/2016,Oct,2016
195,44,133,18,8,169,18,0,13,10/22/2016,Oct,2016
204,43,143,18,8,178,17,0,9,10/23/2016,Oct,2016
200,43,139,18,6,176,20,0,19,10/24/2016,Oct,2016
203,41,144,18,9,176,28,0,23,10/25/2016,Oct,2016
199,42,138,19,13,167,9,0,15,10/26/2016,Oct,2016
186,44,122,20,9,157,15,8,17,10/27/2016,Oct,2016
